,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x
446,18250,20250,110.9589041,2005,72.45,6,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
447,19600,12696.66667,64.77891156,2005,72.45,7,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
448,18500,7966.666667,43.06306306,2005,72.45,8,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
449,17000,1500,8.823529412,2005,72.45,9,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
450,20900,14833.33333,70.97288676,2005,72.45,12,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
451,18750,17225,91.86666667,2005,72.45,13,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
452,17750,10275,57.88732394,2005,72.45,14,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
453,22000,19000,86.36363636,2005,72.45,15,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
454,18500,11866.66667,64.14414414,2005,72.45,16,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
455,19250,9850,51.16883117,2005,72.45,18,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
456,20833.33333,24825,119.16,2005,77.84,4,318,2,신동아파라디움오피스텔,41117,수원시 영통구,원천동
457,22500,23500,104.4444444,2005,77.84,15,318,2,신동아파라디움오피스텔,41117,수원시 영통구,원천동
458,24000,1000,4.166666667,2005,79.6,8,1046,13,에스팝타워,41115,수원시 팔달구,인계동
459,24000,7500,31.25,2005,79.6,13,1046,13,에스팝타워,41115,수원시 팔달구,인계동
460,30500,17500,57.37704918,2005,90.15,15,318,2,신동아파라디움오피스텔,41117,수원시 영통구,원천동
461,22200,2000,9.009009009,2005,97.2,10,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
462,24000,1000,4.166666667,2005,97.2,13,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
463,20000,1000,5,2005,97.2,15,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
464,7000,500,7.142857143,2006,20.91,14,11,9,세진브론즈빌,41115,수원시 팔달구,매산로1가
465,9800,1250,12.75510204,2006,29.09,2,514,0,수원로얄팰리스,41111,수원시 장안구,송죽동
466,10000,10500,105,2006,30.49,3,514,0,수원로얄팰리스,41111,수원시 장안구,송죽동
467,9300,500,5.376344086,2006,32.34,6,11,9,세진브론즈빌,41115,수원시 팔달구,매산로1가
468,9200,500,5.434782609,2006,32.34,8,11,9,세진브론즈빌,41115,수원시 팔달구,매산로1가
